,preprocess_texts
61,نمایندگان محترم مجلس مستحضر هستید که مذاکرات وین به سرپرستی آقای عراقچی برخلاف دستور معظم له فرسایشی شده وبرای بار چندم ا
62,۹۲ فکر کن تو که دلت اینجوری سوخت من چی می‌کشم
63,جدی
64,rt  ۲ از بی تی اس ممنونم چون باعث شدن خودمو دوست داشته باشم اینکه ببینی ی نفر از خودش راضی و نیست و خودشو دوست نداره خیلی نار
65,پول پول پولمیشه پرتقالمو لایک کنین❤️ / / t co / dk ۲ aqa ۵ vym
66,از اسب افتادیم از اصل که نیافتادیم تاجی همیشه تاجی آبی همیشه آبی
67,rt  ۶۴ فقط برای یاداوری ما اومدیم توییتر برای حمایت اومدیم عکسای قشنگ از اعضا رو بریزیم توی لاین تایم اومدیم برای هشتگا رای گ
68,۱۱ وقتی امیو مجبور کردن غذارو درست کنه
69,rt  ۱۹۹۵ با انتخاب رئیس‌جمهور انقلابی تموم توصیه‌های روی زمین مونده رهبرم به سرانجام میرسه کرمان قهرمان پرور
70,rt  ۱۰۱۲ گمم نکنید و از اینجور صحبتا / / t co / zc ۹ zdbktbu
71,نه نمیشه من رفیقتم نباید اینکارو باهام می‌کردی
72,وقتی ندونه چکارش کنیم
73,به دنبال انتشار ویدیوی  سگ کشی و اعدام سگ‌ها توسط  شهرداری تبریز در شبکه‌های مجازی گروهی از  حامیان حیوانات مقابل  شهر
74,لطفا کمی صدای سکوت را بیشتر کنید آرامشش به گوش نمی‌رسد
75,۷۴۶۷ ممنونزیبا می‌بینید
76,از خداوند متعال برایتان سلامتی بهروزی و توفیق استمرار خدمتگزاری را مسئلت دارم رئیسی متشکریم
77,۱ پس اشنا برای همین توییت زد
78,۱۴۸۵    میشه پرتقالمو لایک کنین❤️ / / t co / hup ۳ mwbkglفالومم کنین بک / / t co / ۷ uoiipackk
79,و به نیمه رسیدباران حقیقیت باران درد برده دارنpain pain pain pain
80,ایرانی لبا شرف سکوت خیانت به آب و خاک اجدادی مان ایران است
81,هر وقت نعیما طاهری رو دادن به مناونوقت تصمیم بگیرید
82,۳ d ۳ تشکر
83,نه نداره
84,اصولگرا برانداز پیوندتان مبارکتا زمانی که اصولگراهای بی‌بصیرت هستند اصلاحات نیازی به تبلیغات ندارد نه به رئیسی  دولت
85,اسحاق جهانگیری نامزد انتخابات ریاست جمهوری شد معاون اول رئیس‌جمهوری با حضور در وزارت کشور برای نامزد شدن در انتخاب / / t co / pmdpws ۵۷ is
86,کیر طلایی باشه لطفا
87,مارز رو انقدراهم بس اطمینان نکنهمین جناب کسایی دیگه ایو بعنوان بهترین دنسرای کیپاپ اسم بردو برای کپی‌رایت چنان ق / / t co / mol ۲ s ۵ rep ۳
88,چون از قدیم گفتن آدم دروغگو کم حافظه هم هست
89,آره کلا اشتباه کردم اینا تربیت ناپذیر هستن
90,rt  ۲۸۲۸۲۸  رئیسی متشکریممملکت که اداره می‌شد بی درو پیکر بوده ولی دیگه اجازه نمیدیم / / t co / pfn ۲ qlpxbf
91,عالی سعید محمد چقدر دقیق گفتدمتون گرم تو مناظرات همینجوری پوزه شون رو به خاک بمالید / / t co / qtnpzqb ۹ xy
92,۱۹۲۷ از هنرهای ما ایرانی‌ها این بوده که تما اقوام وحشی را ادم کردیم ولی حریف اخوند نشدیم ‌
93,با توجه به نامزدی آقای رئیسی علی‌رغم دعوت مردمی بنده هم کاندیدا نمیشم و به نفع ایشون کنار میرم
94,هنر خوار شد جادویی ارجمندنهان راستی آشکارا گزند
95,والا یه جوری فرق میذارن انگار نمیدونیم جفتشون چه گهین
96,تا حلوای همه‌تون رو نخورم جایی نمی‌رم خخ
97,دیوونه شدن
98,عمر زیاد نمی‌خوام پول بفرست
99,بعضی چیزا برا مگس مزه عسل داره
100,سرهای متفاوت یک اژدها رفتن وزارت کشور کاندید بشن
101,rt  ۷۲ ماازنسل شهدای انقلاب اسلامی هستیم وهمیشه راهشان راادامه خواهیم داد رئیسی متشکریم❤️❤️
102,rt  ۰۴ چقد کوبص میگین
103,بورس گزیده از کریپتو میترسه
104,rt  ۹ اگه یک‌بار دیگه ببینم واسه توجیه هر کصشری پای چانیول و اون شایعه مسخره رو کشیدید وسط دیگه ساده نمی‌گذرم
105,من محافظ قدسم درپناه قدس
106,چرا به خودت فشار میاریامروز از رئیسی بهتر میدونی فردا از رهبر فرق تو با اغتشاشگران ۸۸ چیه دائم درح / / t co / sgwzzty ۴ sw
107,rt  ۸۸ اسپا و اس‌ام و هر عنی به چپم وقتی همچین عکسی هست / / t co / i ۶ pnbtgy ۲ o
108,۲    گوارش ☹️و کمی تا اندکی تب و لرز  / / t co / okurnq ۳ fpx
109,یویو بس
110,یک مثال سطحی برای مردم خاکستری  رئیسی اعدام می‌کند و این مثال کافیست که مهره اصلی  سعید محمد سوخته شود مردم خیلی / / t co / qiq ۵۷ ncxuu
111,وضعیت تایم لاین / / t co / o ۴۹۳ opxqub
112,۶  خوندم حرفهاتون مستند و مستدل نیست دوست عزیز حتی اگه اتحادیه اروپا خرید از استروزنیکا رو اد / / t co / dgbuopesdp
113,rt  ۹۰ ان‌شاءالله پیش به سوی دولت جوان مؤمن و حزب اللهی رئیسی متشکریم / / t co / cb ۸ vic ۶ lfu
114,۱۰۰ روز پس از نبود ترامپ؛ بحران در اقتصاد و انرژی در آمریکاو آشوب در خاورمیانه تنها دو نفر در این ۴۵ سال بودن که وج
115,۱۹۸۳ متاسفانه درست میگی
116,۶۷ وقتی جریانی سیاسی از چندین گروه متفاوت با کف و سقف خواسته‌های متفاوت تشکیل‌شده طبیعتا با چندین کاندیدا وارد انتخابات می‌شود
117,۰ اینهادردانشگاه سورس که زیر نظر یهودیان است دوره‌دیده‌اند خاتمی وروحانی ولاریجانی‌ها و وقتی تحقیق می‌کنی / / t co / rc ۲ uup ۵ wgi
118,دوستان حقوقدان و حقوق خوانده لطفا پاسخ دهند در صورتی که شخصی از ستادهای آقای رئیسی شکایت کیفری داشته باشد باید به کدام مر
119,تو همه جاش هستی
120,جنگهای اسراییل و غزه ارتباط تنگاتنگی با دکترین خاورمیانه‌ای دولت امریکا دارد جنگ ۲۰۰۸ محصول «خاورمیانه جدید» کاندو / / t co / ۸۴ gstmb ۵ r ۸
121,rt  ۱ انتخابات حقییقت عظیمی است که حضور مردم را در صحنه نشان می‌دهد  رئیسی متشکریم
122,rt  ۹۷ ✅ حجت‌الاسلام رئیسی بانیان و شرکای وضع موجود نمی‌توانند تغییردهنده وضعیت فعلی باشند / خود را رقیب فساد ناکارامدی و اشرافی
123,rt  ۱ قاعدتا لاریجانی باید وعده‌ی حل مشکلات در ۲۰ دقیقه رو بده  روحانیجانی لاریجانی روحانی است اشرافیت خانوادگی
124,اصرار نکن
125,۰۱۴۶۵۹۹۲  ماشاالله شما که ۱۰۰۰ تافالوور داری نیاز به هول نداری فرزندم
126,۲۰۱۹ باشد برادر محترمسپاسگذارم
127,۱۳۸۳ نمیشه طرف منصوب رهبری بشه بره رییس قضاییه و از اون بدتر نمیشه همزمان رییس قضا باشه و در قوه مجریه هم باشه
128,میدونستید دم پستانداران نقش ماسک رو ایفا میکنه / / t co / ۷۳ wctenhag
129,بعضیا رو می‌بینم با اون لباسایی که پوشیدنمن بجاشون یه طوری میشمخیلی پاره است حس امنیت میگیره ازمخیلی تنگه اصن آ / / t co / qilfwune ۴ i
130,آقا ولی این «نمی‌دانم» ی که گفت اصلا معلوم نبود از قبل هماهنگ شده بوده  خیلی زیر پوستی بازی کرد
131,در دوره تحریم‌ها بود که مهندس  رستم قاسمی توانست با نیروهای داخلی بندری بسازد که ۱۵ اسکله داشته باشد  اقتصاد مقاومتی آینده روشن
132,مرسی کلی قلب
133,۰ lch ۰ magh فکر می‌کردم غیر از پسر عموی خودم «اوریا» دیگه‌ای وجود نداشته باشه از بس همیشه اسمش برام عجیب بوده
134,چقد دیگه بیام سر مزارت که به دل جلیلی بندازی که بیاد  جلیلی بیا / / t co / d ۷۰۴ ipoomd
135,۱۴۸۵۱۳ پ
136,خب خیالم راحت شد
137,هدر خوب از رئیسی کی داره منشن کنهپروفایل خوبم بود اوکیهاکانتامونو ستاد کنیم
138,اقا تا یادم نرفته ولی اگه استراماچونی بود میبردنا
139,متاسفانه من روزی شونصد تا توییت می‌زارم کنج امنی پیدا کردم برا حرف زدن
140,شما پاسدار زاده‌ها هم که اگر بازیتون ندن همه رو تکفیر می‌کنید چرا شهرک محلاتی انقدر  داره
141,لباس رییسی امروز این نبود از امروز مراقب دشمن در لباس دوست باشید
142,۸   خب دیگه کص و کونتونو جمع کنید زیادی بتون رو دادم
143,۲۸  ۸۲ l ما همیشه برای لویی وقت داریم♥️i vote  louies for  bestfanarmy at the  iheartawards
144,برادر این عکس برا سال ۹۶ هست دقت کنید
145,مثلا تو میتونی با عابر بانک رل بزنی
146,۸۱۹۰  ۷۳۹۴ آفرینمنم همین که ایشون گفتن
147,اصلاح طلبان با حداکثر توان وارد انتخابات ریاست جمهوری شدند آنها که سالها نقش اپوزیسیون را در جمهوری اسلامی بازی می / / t co / qtjeiy ۴ boz
148,ولله بالله تالله هیچ نمی‌بینم جز جانماز آب‌کشی و وقاحت
149,زاگرس در آتش می‌سوزد صدای زاگرس باشیم / / t co / dolm ۵ m ۷ jgt
150,به نظرماسحاق برنده احتمالی انتخاباته
151,بانیان و شرکای وضع موجود نمی‌توانند تغییردهنده وضعیت فعلی باشند
152,اکومولیتیو اینترنت یه مورگیج خوب ۲۵ ساله تو کانادا نزدیکه ۶۰ درصده
153,rt  ۶۱۰۴ l بچه‌ها بیاید فقط به پسرا اعتماد کنیم هر کاری که تو آینده کردن تنها کاری که اکسوالاشون انجام میدن فقط حمایت کردنهوقتی جو
154,آبیه دست مینگی و یونهوعه]
155,rt  ۲ c شاباتتون عجب شالومی شدبندر اسدود در اتش موشکهای مقاومت می‌سوزد زندگی سگی اسرائیلیها / / t co / whdbim ۹ il ۹
156,رشتوحضرت آیت‌الله  رئیسیآقای دکتر  سعید محمدآقای دکتر  سعید جلیلیسلام علیکمبه  مسعود فراستی توجه ویژه داشته ب
157,۶۶۶ من با اون خاطره دارم
158,۸۱   ۰  چقدر جالبه پس بنظرم نیاد بهترهچه اون زمان که روحانی وعد / / t co / lnbtinqlre
159,۵۲۰۱۰۰۹۴ برام بازش نمیکنه اینجوریمیشه آیدیشو بهم بگی
160,rt  ۱۳۵ حالا که آقای رئیسی اومد می‌ترسم بعضیا که دوره قبل به روحانی رأی دادن از سر لج به رئیسی رأی ندن رئیسی متشکریم
161,۱۷ همه عالمو خبر ندارم ولی من تا حدودی هستم
162,انتخابات برگ زرینی از حماسه مردم در تاریخ ایران اسلامی است رئیسی متشکریم
163,نبابا برابری حقوق سرم میشه‍♀️
164,فرو نرو‌تر از رئیسی فقط این عزت صرغامی دیوث
165,سید محرومان  برای مردم و پیشرفت کشور آمدجبهه‌ی انقلاب به صورت یکپارچه از او پشتیبانی خواهد کرد تا  دولت سوم روحانی در نط
166,۶  می‌تونی نرخ ابتلا به کرونا رو در زمان تو دو تا کشور انگلیس و آمریکا نگاه کنی اینجا  / / t co / lpn ۹ dltbb ۴
167,۶۷۷۲   ۰  oza   همینجوریش هم به حضرت آقا میگید دیکتاتور اگه جلوی برجامو / / t co / ikikwuyud ۸
168,۵۲۸۶۳۸۴۸  توهین به شخصیت سیاسی رواست این اصل اول آزادی بیانه من اکر‌به شما توهین کن / / t co / hzjj ۷۱ u ۶۵ v
169,واشینگتن پست اسناد به سرقت رفته نشان داد رژیم  ایران در سال ۲۰۰۳ به‌دنبال دستیابی به سلاح  هسته‌یی بوده است / / t co / a ۶ wv
170,۱۱۰۱۳  ۱ lpfrhqxzetpfr  ریپ یا ریت می‌کنید هرکدوم خودش یخ رای محسوب میشه‍♀️آرمی لطفا کوتاهی نکن / / t co / ya ۹ jrjvtxk
171,۸۴  از فردوسیه
172,فوریخبرنگار «الاتجاه» در بیروت تظاهرات گسترده امروز در منطقه مارون الراس برای همبستگی با مردم فلسطین
173,مطمئنا با حرف‌هایی که تو کنفرانس قبل بازی زد و پاکسازی هاش خیلی‌ها برنامه تخریبش رو شروع میکنن ولی این دفه کور خوند / / t co / hp ۲ kf ۴ k ۳ gm
174,rt  ۶۳ الهی عظم البلاء و برح الخفآء و انکشف الغطآء بلا و مصائب ما بزرگ‌شده و بیچارگی ما بسی روشن و پرد
175,لیست دهم ۲۱۴۱۵۶۲۲ ۹ v ۲ a ۰ fxgzndw
176,تو این مملکت یه سری هستن که سر کارن بقیههم علاف اونایی که سر کارن
177,۱۳۷۹۳۱۳ نمیدونم نه فالو کردم و نه آنفالو نمیدونم چرا اینجوری میشه
178,خدا کنه
179,هر خانه یک ستادبرای مبارزه با فساد⁦⁩⁦⁩ دولت ضدفساد / / t co / pxkptluhpp
180,الویز یو می‌میرم براششاین دوتا برام اهنگای تاپ لویی‌ان i vote  louies for  bestfanarmy at  iheartawards
181,۴ twit لاریجانی  مابقی شوتند از ماجرا هر کدوم هم بیان اول باید برن توافق کنن هم هسته‌ای هم موشکی رو بدن بره / / t co / jjggydu ۲ e ۳
182,ولی من اونیم که علاوه بر دوستام به کسی که فالوم نکرده یا بلاک انبلاکم کرده و یا با یه اکانت دیگش امکان داره بلاکم کرد
183,هوادار چه فقیر و چه وزیر روی چشم پیروانی جا دارن ولی هیچوقت عکس فقیر رو استوری نکرده وقتی تو خیابون بدون اینکه بپرسن آ
184,من خودمم گه گاه می‌کشم حتی و‌حالم از خودم ثانیه ایی بعد بهم میخوره
185,در پاسخ به درخواست فروش املاک دانشگاه آزاد میگن اونها برای روز مباداست کدام روز مباداتر از وضعیت معیشتی امروز کارکنان ای
186,به شدت تحت ریپورت هستم حلالم کنید رفقا
187,کیوتمه
188,خواب دیدم رامبد جوان رفته طناز طباطباییو گرفته ایشالا که خیره
189,۰۰۳ همشون هم از تریبون شبکه‌های انگلیسی بیانیه میدن  آیت الله بی بی سی و  آیت الله ایران اینترنشنال
190,عه توعم شاینایی یا گلنازی
191,چنین است رسم سرای سپنجگهی ناز و نوش و گهی درد و رنج۲۵ اردیبهشت روز بزرگداشت پیر خردمند پارسی عالیجناب / / t co / i ۰ wvfbfit ۰
192,با صراحت میگم ملت خرو شناختن دیگه به خرها رای نمیدن حالا هی پالونشو عوض کنید
193,اکانت دومم برا رای گیریه میشه فالو کنین / / t co / xklbmiggky
194,خیال مان با آمدنت آسوده گشت به امید پیروزی و ریشه‌کن کردن ظلم و فساد رئیسی متشکریم / / t co / ۷ sikngtfom
195,بعد از هر کامبک اکسو بر کیپاپ چه می‌گذرد     exo / / t co / ۲ rph ۱ gobug
196,آمده‌ام تا با کمک همه مردم ایران و در طلیعه گام دوم دولتی مردمی برای ایرانی قوی تشکیل دهم؛ دولتی که ارکان و مسئولیتهای اص
197,خیلی قشنگ بود دیشب
198,حسن روحانی  «ما مسئولان هم عین مردم به نوبت واکسن می‌زنیم» شما عنبرنسای الاغ را هم عادلانه توزیع نمی‌کنید چه رسد به وا
199,مرسی از همکاری
200,با عشق من کار نداشته باش
201,rt  ۷۳ امروز مامانم واسم ماهی درست کرد فرستاد سرکارم دمشگرم ک عشق منه و از همینجا اعلام می‌کنم ننه جوون تولدت مبارک فدات بشم
202,حالا دیدین همه چی شوعاف بود  هوایی
203,بزنید کانال ۴
204,منو ببینن / / t co / y ۹ iszsud ۶۷
205,با گا تین خیلی بیشتر حال کردم و قراره از فردا دایرکتشونو با عکسام پاره کنم
206,میشه یکی بیاد بگه دقیقا چی میگه این / / t co / e ۲ igcdvaqa
207,۴ پس ان‌شاءالله که علی بیطرفان پیش‌بینی‌هاش درست باشه
208,باگ رستوران‌ها اینه که هنوز برای گزینه‌های پرداخت پول غذا ظرف شستن و تی کشیدن رستوران اضافه نشده
209,rt  ۱ اولین روز بعد از ماه رمضون و وضعیت مشتریا در مغازهحالا اینو در نظر بگیرید صاب کارمم هی داره غر میزنه / / t co / uic
210,با اجازه تون اسم تمام کاندیداهای موردنظر رو میوت کردم
211,۲۲ ss ۱۲ من فقط یه شامی می‌شناسم که غذاست
212,برطبق نظرسنجی  گمان پایگاه اجتماعی اصلاحطلبان ۸ ٪ و پایگاه اجتماعی اصولگرایان ۱۳ ٪ است ایسپا پایگاه هر یک را حدود ۹ ٪ و موس
213,۲۷ «بازی» قرار نیست بکنند مصاحبه‌ست اینام میزبانند
214,۳   چشات روشنه
215,خب اسحاق جان شما قبل از اینکه بیای جلو دوربین یدور از رو متنی که برات نوشتن روخونی می‌کردی که انقدر نرینی
216,۸۲ من هم هر روز چیزهای جدید پیدا می‌کنم
217,۲    امروز چی شده بود فضایی جون ⁦ ⁩
218,۳۱۳ qq  ۱ راضی
219,دیگه دغدغه‌ای ندارم
220,این مرد دیوانه نیست یک طنز پرداز عملگرای معترض است
221,یه موقع این لیست رو فالو نکنیداا کفتر فارسیه / / t co / pcj ۶ a ۴۶۱ d ۷
222,از وقتی پسرعموم مو کاشت ایمان آوردم به اینکه عقد پسرعمو و دخترعمو رو تو آسمونا بستن این همه زیبایی رو کجا قایم کرده بودی مو
223,rt  ۷ bhatti اللهم صلی علی محمد وعلی آل محمد کماصلیت علی ابراهیم وعلی آل ابراهیم ان
224,چه خواب کثافتی دیدم
225,rt  ۱ هفت‌تپه به بیت‌المال بازگشت خداقوت سید ابراهیم  / / t co / ulucfxycqp
226,جز مرگ به نظرم راهی مداره واقعا
227,اوکیه
228,rt  ۲ اکثریت قاطع زنان و دختران افغانستان مخالف به قدرت رسیدن طالبان و دیکتاتوری دینی در آن کشور هستند
229,rt  ۱ exmlnn ۳۸۳ بعضیا جوری از فکر رفتن اکسو از اس‌ام ناراحتن ک برنمیتابم خب ودف یعنی تمام فکر و ذکرتون کانسپت و خط داستانی اکسوعه یعنی
230,راستش من اکسوال نیستم یه موجود فضایی‌ام که از سیاره اکسو پلنت اومدم زمین اسمم هم اری هست exo / / t co / kpqylfgbrw
231,کل پایگاه اجتماعی حکومت حدود بیست درصده سهم اصلاح‌طلبان چیزی از نصف این کمتر بعد میگید باید نسبت ب / / t co / uhe ۰ g ۶ ygle
232,۱۶ کانال تلگرام زدم اونجا گذاشتمشون فقط معنی عبارات باشه کلیپ رو عربی می‌کنم اینم آدرس کانال  / / t co / v ۶۸ mt ۸ rapz
233,بد نیست بدانید جزیره‌ای در مکزیک به نام درxochimilco وجود دارد که در آن عروسک‌های پلاستیکی به درختان آویزان هستند  / / t co / gosozzkvwt
234,وضعیت یه طوریه که نمیتونیم حدیث بذاریم از امام معصوم در مورد عدم جواز جنگ و جهاد ابتدایی در رکاب غیر معصوم می‌ترسیم / / t co / dxvollz ۹ o ۳
235,فوریحضور رهبر انقلاب آیت‌الله خامنه‌ای در وزارت کشور برای ثبت‌نام برای ریاست جمهوری  / / t co / dlxli ۸ gdw ۳
236,به کسانی که هویت خودشان را مدیون  پادگان و  دادگاه هستند به صراحت می‌گویم به حول و قوه الهی امروز آغازی بر پایان  اشرافیت
237,rt  ۸۰۸۵  برای نجات جان  صبا کردافشاریهموطن عزیزمان با وحدت همیشگی صدای بی گناهیش خواهیم بود توفان توییتریشن
238,rt  ۷۶ bisa میسوزونه  / / t co / kd ۷۷ pyyg ۲ j
239,میتونم برای آهنگ تنها‌ترین عاشق فریدون فروغی بمیرم
240,همش معطل یه دونه سعیدیم گرفتاری شدیماا جلیلی بیا / / t co / ۸۰ rpziyh ۹۵
241,زورو که نیستی جمع کن اون چادر صاب‌مرده کثافتو
242,شمایی که در جهت حمایت از فلسطینحتی یک توییت هم نمی‌زنی؛ لطفا ازسفت کردن بند پوتین هات با من حرف نزن
243,کسخل بوای اون کار که باید بری خراستان که هم‌مرز باشی با افغانستان و کرمان
244,ممد سوروس ثبت‌نام می‌کنهبمب خبری  فتنه
245,و مکرو و مکرالله خدارو کر اصلاحطلبان و لیبرالها همه با هم یکجا آمده‌اند که انشاالله مردم یکبار برای همیشه ریشه‌شان را بزنن
246,دقت کردی ما تایپمون همین سایمون و سومان اند اکسو و واندی وسی
247,خیلی واقعا
248,هانی اونا برای بخش برنامه کنای کرجنبچه‌ها طبقه‌بندی کرج رو برای من میدونن / / t co / alx ۴ cxd ۷ we
249,می‌دونین چیه ناراحت نمی‌شم اگه بلک پینک نبره  فقط می‌خوام آره فقط می‌خوام تلاشمونو بکنیمi just votes for
250,اونجایی که جون می‌کنی خودتو جمع کنی و به خودت بیایاونجام
251,۱۳۶۷ همین نشان از پاک بودن ایشان و تبر بودن برای بت‌های لیبرال و اصلاحات هست
252,rt  ۹۹ آیت‌الله رئیسی را شایسته تصدی مقام ریاست جمهوری می‌دانیم رئیسی بیا / / t co / pbljemjdgv
253,هیچی به اندازه ادعا تو خالی بودن آدما رو نشون نمیده
254,rt  ۸۸ بیانیه  محمدرضا عارف عارف تا دقایقی دیگر منتشر می‌شودپ ن ۸ صفحه a ۴ پشت و رو سفید
255,میدونم هایپر محله‌تون از اینا نمیفروشه / / t co / ofii ۱۱ o ۴ dk
256,بگو برای اینکه باباتو خوشحال کنی برو بخون
257,اوه اوه خیلی درگیرمون کردی بچه‌ها بیاید همو پاره کنیم این زیر
258,rt  ۷۲۲ ابلیس کی مجلس شوری / / t co / lkhgeelpgy
259,لطفا تا ۷ خرداد اکانت توییتر تلگرام و اینستاگرام منو آنفالو نکنید / / t co / p ۸ afqqt ۰۶ g / / t co / pmh ۶ s ۸ umko
260,rt  ۹۱۱۹ تعدد کاندیداهای انقلابی برای دفاع از گفتمان انقلاب اسلامی در مقابل غربزده‌های حراف؛  «به شرط وحدت در روز آخر»؛ نه‌تنها مکر
