Unnamed: 0,text,preprocess_texts,tokens,tokens_no_stopwords
10,"RT @Mozafari_hadi70: از جهت وجه خارجی هم انتخابات و مشارکت مردم نشان دهنده اقتدار ملی است.
#دیار_صددرصد_رای_آری",از جهت وجه خارجی هم انتخابات و مشارکت مردم نشان دهنده اقتدار ملی است دیار صددرصد رای آری,"['از', 'جهت', 'وجه', 'خارجی', 'هم', 'انتخابات', 'و', 'مشارکت', 'مردم', 'نشان', 'دهنده', 'اقتدار', 'ملی', 'است', 'دیار', 'صددرصد', 'رای', 'آری']","['جهت', 'وجه', 'خارجی', 'انتخابات', 'مشارکت', 'مردم', 'نشان', 'دهنده', 'اقتدار', 'ملی', 'دیار', 'صددرصد', 'رای', 'آری']"
11,"RT @sarbazetwitt: فوری
دکتر #سعید_محمد طی تماس تلفنی از #سعید_جلیلی جهت ثبت نام در انتخابات دعوت بعمل آورد. https://t.co/9NkIFcfwEH",فوریدکتر  سعید محمد طی تماس تلفنی از  سعید جلیلی جهت ثبت نام در انتخابات دعوت بعمل آورد,"['فوریدکتر', 'سعید', 'محمد', 'طی', 'تماس', 'تلفنی', 'از', 'سعید', 'جلیلی', 'جهت', 'ثبت', 'نام', 'در', 'انتخابات', 'دعوت', 'بعمل', 'آورد']","['فوریدکتر', 'سعید', 'محمد', 'تماس', 'تلفنی', 'سعید', 'جلیلی', 'جهت', 'ثبت', 'نام', 'انتخابات', 'دعوت', 'بعمل']"
12,"@parissa_all خارجیا یه ضرب المثلی دارن میگه:
One man's trash is another man's treasure
یعنی گاها چیزی که برای کسی آ… https://t.co/IEUaWDUzCM",خارجیا یه ضرب المثلی دارن میگهone man's trash is another man's treasureیعنی گاها چیزی که برای کسی آ,"['خارجیا', 'یه', 'ضرب', 'المثلی', 'دارن', 'میگهone', ""man's"", 'trash', 'is', 'another', ""man's"", 'treasureیعنی', 'گاها', 'چیزی', 'که', 'برای', 'کسی', 'آ']","['خارجیا', 'یه', 'ضرب', 'المثلی', 'دارن', 'میگهone', ""man's"", 'trash', 'is', 'another', ""man's"", 'treasureیعنی', 'گاها', 'آ']"
13,با چراغی همه جا گشتم وگشتم در شهر هیچ کس ... هیچ کس اینجا به تو مانند نشد #وحدت_برای_مردم #دوباره_ایثار #قالیباف https://t.co/zMPCx2GmlV,با چراغی همه جا گشتم وگشتم در شهر هیچ کس  هیچ کس اینجا به تو مانند نشد  وحدت برای مردم  دوباره ایثار  قالیباف,"['با', 'چراغی', 'همه', 'جا', 'گشتم', 'وگشتم', 'در', 'شهر', 'هیچ', 'کس', 'هیچ', 'کس', 'اینجا', 'به', 'تو', 'مانند', 'نشد', 'وحدت', 'برای', 'مردم', 'دوباره', 'ایثار', 'قالیباف']","['چراغی', 'گشتم', 'وگشتم', 'شهر', 'کس', 'کس', 'نشد', 'وحدت', 'مردم', 'ایثار', 'قالیباف']"
14,@Humanitarian003 @JKDubai1 @malihadubai @Alka_pam_kawa @_Jasmine001 @JamilBathaa @fihlc @Defender_747… https://t.co/ZWwOImo5GC,,[],[]
15,@aliolfatpour @AliShamsipur من که نفهمیدم,من که نفهمیدم,"['من', 'که', 'نفهمیدم']",['نفهمیدم']
16,"@elyas_ghanbari1 من اگه جای شورای نگهبان بودم
از اینم استصوابی‌تر بودم😒",من اگه جای شورای نگهبان بودماز اینم استصوابیتر بودم,"['من', 'اگه', 'جای', 'شورای', 'نگهبان', 'بودماز', 'اینم', 'استصوابیتر', 'بودم']","['اگه', 'شورای', 'نگهبان', 'بودماز', 'اینم', 'استصوابیتر', 'بودم']"
17,@erfanp_g مال این حرفایی؟؟,مال این حرفایی,"['مال', 'این', 'حرفایی']","['مال', 'حرفایی']"
18,"RT @amin_km12: به جای توئیتهای #فلانی_بیا کاش توئیت میزدید آقا بیا...
#يا_صاحب_الزمان",به جای توئیتهای  فلانی بیا کاش توئیت میزدید آقا بیا يا صاحب الزمان,"['به', 'جای', 'توئیتهای', 'فلانی', 'بیا', 'کاش', 'توئیت', 'میزدید', 'آقا', 'بیا', 'يا', 'صاحب', 'الزمان']","['توئیتهای', 'فلانی', 'بیا', 'کاش', 'توئیت', 'میزدید', 'آقا', 'بیا', 'يا', 'صاحب', 'الزمان']"
19,"@Zed___Pcy @weareoneEXO @B_hundred_Hyun @layzhang تلگرام ندارم، شرمنده ام💖

#EXO
@weareoneEXO
@B_hundred_Hyun
@layzhang",تلگرام ندارم شرمنده ام exo,"['تلگرام', 'ندارم', 'شرمنده', 'ام', 'exo']","['تلگرام', 'ندارم', 'شرمنده', 'ام', 'exo']"
20,"RT @khale_pesar_org: فرد اصلح کشور و رئیس جمهور آینده 
#رئیسی_آمد https://t.co/6lPPqPVuiM",فرد اصلح کشور و رئیس جمهور آینده  رئیسی آمد,"['فرد', 'اصلح', 'کشور', 'و', 'رئیس', 'جمهور', 'آینده', 'رئیسی', 'آمد']","['اصلح', 'کشور', 'رئیس', 'جمهور', 'آینده', 'رئیسی']"
21,"RT @Asayesh176: ما براندازان، شاید نظرات مختلفی داشته باشیم اما حرف آخرمان یکی است ، 
و آن هم  
  #نه_به_جمهوری_اسلامی 
است 
و اکنون میگویم…",ما براندازان شاید نظرات مختلفی داشته باشیم اما حرف آخرمان یکی است  و آن هم   نه به جمهوری اسلامی است و اکنون میگویم,"['ما', 'براندازان', 'شاید', 'نظرات', 'مختلفی', 'داشته_باشیم', 'اما', 'حرف', 'آخرمان', 'یکی', 'است', 'و', 'آن', 'هم', 'نه', 'به', 'جمهوری', 'اسلامی', 'است', 'و', 'اکنون', 'میگویم']","['براندازان', 'نظرات', 'مختلفی', 'داشته_باشیم', 'حرف', 'آخرمان', 'جمهوری', 'اسلامی', 'میگویم']"
22,@Atiyeh19489181 پس چی بگیرم برات حالت خوب شه,پس چی بگیرم برات حالت خوب شه,"['پس', 'چی', 'بگیرم', 'برات', 'حالت', 'خوب', 'شه']","['چی', 'بگیرم', 'برات', 'حالت', 'شه']"
23,حتی حیوونام دچار اختلالات شناختی میشن و حقیقتا پشمام,حتی حیوونام دچار اختلالات شناختی میشن و حقیقتا پشمام,"['حتی', 'حیوونام', 'دچار', 'اختلالات', 'شناختی', 'میشن', 'و', 'حقیقتا', 'پشمام']","['حیوونام', 'اختلالات', 'شناختی', 'میشن', 'حقیقتا', 'پشمام']"
24,@N0OGHTE چقدر خشن :))) چی میشه انگلیسیش؟,چقدر خشن  چی میشه انگلیسیش,"['چقدر', 'خشن', 'چی', 'میشه', 'انگلیسیش']","['چقدر', 'خشن', 'چی', 'میشه', 'انگلیسیش']"
25,سخت ترین انتظار انتظار برای پیک غذاس.,سخت ترین انتظار انتظار برای پیک غذاس,"['سخت', 'ترین', 'انتظار', 'انتظار', 'برای', 'پیک', 'غذاس']","['سخت', 'ترین', 'انتظار', 'انتظار', 'پیک', 'غذاس']"
26,@herosuhi خدا نکنه,خدا نکنه,"['خدا', 'نکنه']","['خدا', 'نکنه']"
27,RT @Bhnam04836547: @ShakouryR همه مدعیان برعلیه دکتر احمدینژاد غلط میکنند,همه مدعیان برعلیه دکتر احمدینژاد غلط میکنند,"['همه', 'مدعیان', 'برعلیه', 'دکتر', 'احمدینژاد', 'غلط', 'میکنند']","['مدعیان', 'برعلیه', 'دکتر', 'احمدینژاد', 'غلط', 'میکنند']"
28,@jadogareshahrOZ @SamanthaIrani حکومت ج.ا. ازمردمش جدا هست اگر اسرائیل فراخوان سرباز ورزمنده ازایرانیان بدهد بیشترا… https://t.co/vfc5HryM7R,حکومت جا ازمردمش جدا هست اگر اسرائیل فراخوان سرباز ورزمنده ازایرانیان بدهد بیشترا,"['حکومت', 'جا', 'ازمردمش', 'جدا', 'هست', 'اگر', 'اسرائیل', 'فراخوان', 'سرباز', 'ورزمنده', 'ازایرانیان', 'بدهد', 'بیشترا']","['حکومت', 'ازمردمش', 'جدا', 'هست', 'اسرائیل', 'فراخوان', 'سرباز', 'ورزمنده', 'ازایرانیان', 'بدهد', 'بیشترا']"
29,@FarSarih مطمین باشه چون میدانی نیست نمیتونه باندازه سعید محمد کارا باشه، بعد چهار سال دوباره اصلاح طلبا سرو کله شو… https://t.co/tpGbOJhrdm,مطمین باشه چون میدانی نیست نمیتونه باندازه سعید محمد کارا باشه بعد چهار سال دوباره اصلاح طلبا سرو کله شو,"['مطمین', 'باشه', 'چون', 'میدانی', 'نیست', 'نمیتونه', 'باندازه', 'سعید', 'محمد', 'کارا', 'باشه', 'بعد', 'چهار', 'سال', 'دوباره', 'اصلاح', 'طلبا', 'سرو', 'کله', 'شو']","['مطمین', 'باشه', 'میدانی', 'نمیتونه', 'باندازه', 'سعید', 'محمد', 'کارا', 'باشه', 'سال', 'اصلاح', 'طلبا', 'سرو', 'کله', 'شو']"
30,"فراخوان «عرضه محصولات فرهنگی و آموزشی در کتاب فروشی معمار نیوز»

 لذا از کلیه اشخاص حقیقی و حقوقی از جمله ناشرین، م… https://t.co/8C8srOR8F7",فراخوان «عرضه محصولات فرهنگی و آموزشی در کتاب فروشی معمار نیوز» لذا از کلیه اشخاص حقیقی و حقوقی از جمله ناشرین م,"['فراخوان', '«', 'عرضه', 'محصولات', 'فرهنگی', 'و', 'آموزشی', 'در', 'کتاب', 'فروشی', 'معمار', 'نیوز', '»', 'لذا', 'از', 'کلیه', 'اشخاص', 'حقیقی', 'و', 'حقوقی', 'از', 'جمله', 'ناشرین', 'م']","['فراخوان', '«', 'عرضه', 'محصولات', 'فرهنگی', 'آموزشی', 'کتاب', 'فروشی', 'معمار', 'نیوز', '»', 'کلیه', 'اشخاص', 'حقیقی', 'حقوقی', 'جمله', 'ناشرین', 'م']"
31,"RT @GhazalSouri: مژده دهید باغ را...!😍
#سلام_بر_ابراهیم https://t.co/FaOrfxbwj5",مژده دهید باغ را سلام بر ابراهیم,"['مژده', 'دهید', 'باغ', 'را', 'سلام', 'بر', 'ابراهیم']","['مژده', 'دهید', 'باغ', 'سلام', 'ابراهیم']"
32,"@azarijahromi پرسپولیسی ام
اما بهت میگم بی ادب",پرسپولیسی اماما بهت میگم بی ادب,"['پرسپولیسی', 'اماما', 'بهت', 'میگم', 'بی', 'ادب']","['پرسپولیسی', 'اماما', 'بهت', 'میگم', 'ادب']"
33,"RT @exo_l1386: @ifzliweri @weareoneEXO @B_hundred_Hyun @layzhang اولا سلامممممممم موزی قشنگممممممم
دوما منم همین فکرو میکنم
باور کن از وقتی…",اولا سلامممممممم موزی قشنگمممممممدوما منم همین فکرو میکنمباور کن از وقتی,"['اولا', 'سلامممممممم', 'موزی', 'قشنگمممممممدوما', 'منم', 'همین', 'فکرو', 'میکنمباور', 'کن', 'از', 'وقتی']","['اولا', 'سلامممممممم', 'موزی', 'قشنگمممممممدوما', 'منم', 'فکرو', 'میکنمباور', 'کن']"
34,RT @raesi_org: بانیان و شرکای وضع موجود نمی‌توانند تغییردهنده وضعیت فعلی باشند.,بانیان و شرکای وضع موجود نمیتوانند تغییردهنده وضعیت فعلی باشند,"['بانیان', 'و', 'شرکای', 'وضع', 'موجود', 'نمیتوانند', 'تغییردهنده', 'وضعیت', 'فعلی', 'باشند']","['بانیان', 'شرکای', 'وضع', 'موجود', 'نمیتوانند', 'تغییردهنده', 'وضعیت', 'فعلی']"
35,@nima_1991 اهووووم،اصن ارامش زندگی تو همین خلاصه میشه,اهووووماصن ارامش زندگی تو همین خلاصه میشه,"['اهووووماصن', 'ارامش', 'زندگی', 'تو', 'همین', 'خلاصه', 'میشه']","['اهووووماصن', 'ارامش', 'زندگی', 'خلاصه', 'میشه']"
36,@rastakhiz_ حتی قبل‌تر یه گروه تحقیقاتی فیلمی گرفتن که فکهای آبی که نتوانستن تو فصل جفتگیری ماده پیدا کنند به پنگئون تجاوز کردن,حتی قبلتر یه گروه تحقیقاتی فیلمی گرفتن که فکهای آبی که نتوانستن تو فصل جفتگیری ماده پیدا کنند به پنگئون تجاوز کردن,"['حتی', 'قبلتر', 'یه', 'گروه', 'تحقیقاتی', 'فیلمی', 'گرفتن', 'که', 'فکهای', 'آبی', 'که', 'نتوانستن', 'تو', 'فصل', 'جفتگیری', 'ماده', 'پیدا', 'کنند', 'به', 'پنگئون', 'تجاوز', 'کردن']","['قبلتر', 'یه', 'گروه', 'تحقیقاتی', 'فیلمی', 'گرفتن', 'فکهای', 'آبی', 'نتوانستن', 'فصل', 'جفتگیری', 'ماده', 'پنگئون', 'تجاوز']"
37,"RT @Mostafa05655923: بایکی تو تلگرام چت میکردم و گفتم من عاشق محصولات سرفیسم.
از همون روز توی توییتر تبلیغات سرفیس واسم نمایش داده میشه.
طب…",بایکی تو تلگرام چت میکردم و گفتم من عاشق محصولات سرفیسماز همون روز توی توییتر تبلیغات سرفیس واسم نمایش داده میشهطب,"['بایکی', 'تو', 'تلگرام', 'چت', 'میکردم', 'و', 'گفتم', 'من', 'عاشق', 'محصولات', 'سرفیسماز', 'همون', 'روز', 'توی', 'توییتر', 'تبلیغات', 'سرفیس', 'واسم', 'نمایش', 'داده', 'میشهطب']","['بایکی', 'تلگرام', 'چت', 'میکردم', 'گفتم', 'عاشق', 'محصولات', 'سرفیسماز', 'همون', 'روز', 'توی', 'توییتر', 'تبلیغات', 'سرفیس', 'واسم', 'نمایش', 'میشهطب']"
38,@PAHLEVANl بابا اینا خیلی رو دارن,بابا اینا خیلی رو دارن,"['بابا', 'اینا', 'خیلی', 'رو', 'دارن']","['بابا', 'اینا', 'دارن']"
39,@ir_yasan ببخششششید😂😂 https://t.co/gTE0n0Nn1h,ببخششششید,['ببخششششید'],['ببخششششید']
40,RT @saeedghasemi_ir: به لطف خدا جناب اقای حسن روحانی مجددا با شعار دولت تدبیر و امید در انتخابات ثبت نام فرمودند. #علی_برکت_الله https://t.…,به لطف خدا جناب اقای حسن روحانی مجددا با شعار دولت تدبیر و امید در انتخابات ثبت نام فرمودند  علی برکت الله,"['به', 'لطف', 'خدا', 'جناب', 'اقای', 'حسن', 'روحانی', 'مجددا', 'با', 'شعار', 'دولت', 'تدبیر', 'و', 'امید', 'در', 'انتخابات', 'ثبت', 'نام', 'فرمودند', 'علی', 'برکت', 'الله']","['لطف', 'خدا', 'جناب', 'اقای', 'حسن', 'روحانی', 'مجددا', 'شعار', 'دولت', 'تدبیر', 'امید', 'انتخابات', 'ثبت', 'نام', 'فرمودند', 'علی', 'برکت', 'الله']"
41,@planet_b9 هرچي هس از مال خودت بهترع فعلا اينو داشتع باش تا جنس جديد بياد برام,هرچي هس از مال خودت بهترع فعلا اينو داشتع باش تا جنس جديد بياد برام,"['هرچي', 'هس', 'از', 'مال', 'خودت', 'بهترع', 'فعلا', 'اينو', 'داشتع', 'باش', 'تا', 'جنس', 'جديد', 'بياد', 'برام']","['هرچي', 'هس', 'مال', 'خودت', 'بهترع', 'فعلا', 'اينو', 'داشتع', 'باش', 'جنس', 'جديد', 'بياد', 'برام']"
42,"به خودم ک نگاه میکنم 
میبینم هرچقدر ثبات شخصیتی دارم 
همونقدر ثبات روحی ندارم
و اینه که اشفتم میکنه
و واقعا نمیدونم… https://t.co/oXHt2Btn3H",به خودم ک نگاه میکنم میبینم هرچقدر ثبات شخصیتی دارم همونقدر ثبات روحی ندارمو اینه که اشفتم میکنهو واقعا نمیدونم,"['به', 'خودم', 'ک', 'نگاه', 'میکنم', 'میبینم', 'هرچقدر', 'ثبات', 'شخصیتی', 'دارم', 'همونقدر', 'ثبات', 'روحی', 'ندارمو', 'اینه', 'که', 'اشفتم', 'میکنهو', 'واقعا', 'نمیدونم']","['خودم', 'ک', 'نگاه', 'میکنم', 'میبینم', 'هرچقدر', 'ثبات', 'شخصیتی', 'دارم', 'همونقدر', 'ثبات', 'روحی', 'ندارمو', 'اینه', 'اشفتم', 'میکنهو', 'واقعا', 'نمیدونم']"
43,@aliabbasi_o @Tinazabmm ولی من حس میکنم تو یکی از اسپیسا بودی 😐😂,ولی من حس میکنم تو یکی از اسپیسا بودی,"['ولی', 'من', 'حس', 'میکنم', 'تو', 'یکی', 'از', 'اسپیسا', 'بودی']","['حس', 'میکنم', 'اسپیسا', 'بودی']"
44,"RT @abbasezeynab: اینم حالو روز ماهاست دیگه
فلسطینی ها کاری کردند که هر شب باید با یه مشت تخمه بشینیم پای تلویزیون موشک خوردن اسرائیل رو تم…",اینم حالو روز ماهاست دیگهفلسطینی ها کاری کردند که هر شب باید با یه مشت تخمه بشینیم پای تلویزیون موشک خوردن اسرائیل رو تم,"['اینم', 'حالو', 'روز', 'ماهاست', 'دیگهفلسطینی', 'ها', 'کاری', 'کردند', 'که', 'هر', 'شب', 'باید', 'با', 'یه', 'مشت', 'تخمه', 'بشینیم', 'پای', 'تلویزیون', 'موشک', 'خوردن', 'اسرائیل', 'رو', 'تم']","['اینم', 'حالو', 'روز', 'ماهاست', 'دیگهفلسطینی', 'ها', 'کاری', 'شب', 'یه', 'مشت', 'تخمه', 'بشینیم', 'پای', 'تلویزیون', 'موشک', 'خوردن', 'اسرائیل', 'تم']"
45,@moolook93 ما میگیم سر و ته یه گوهن . باز تو میای سوا میکنی .,ما میگیم سر و ته یه گوهن  باز تو میای سوا میکنی,"['ما', 'میگیم', 'سر', 'و', 'ته', 'یه', 'گوهن', 'باز', 'تو', 'میای', 'سوا', 'میکنی']","['میگیم', 'سر', 'ته', 'یه', 'گوهن', 'میای', 'سوا', 'میکنی']"
46,@ali_s1352 مخالفان آزادی؟ ایشون خودش سردسته مخالفان آزادیه که برای شهوت قدرت ملتو به آشوب دعوت کرد و هشت ماه هزینه… https://t.co/fNnBzRNYF1,مخالفان آزادی ایشون خودش سردسته مخالفان آزادیه که برای شهوت قدرت ملتو به آشوب دعوت کرد و هشت ماه هزینه,"['مخالفان', 'آزادی', 'ایشون', 'خودش', 'سردسته', 'مخالفان', 'آزادیه', 'که', 'برای', 'شهوت', 'قدرت', 'ملتو', 'به', 'آشوب', 'دعوت', 'کرد', 'و', 'هشت', 'ماه', 'هزینه']","['مخالفان', 'آزادی', 'ایشون', 'سردسته', 'مخالفان', 'آزادیه', 'شهوت', 'قدرت', 'ملتو', 'آشوب', 'دعوت', 'هشت', 'ماه', 'هزینه']"
47,@itsthelamo میدونن قهرمانی دوره استرس نمیگیرن پوستشون سالم میمونه,میدونن قهرمانی دوره استرس نمیگیرن پوستشون سالم میمونه,"['میدونن', 'قهرمانی', 'دوره', 'استرس', 'نمیگیرن', 'پوستشون', 'سالم', 'میمونه']","['میدونن', 'قهرمانی', 'دوره', 'استرس', 'نمیگیرن', 'پوستشون', 'سالم', 'میمونه']"
48,"RT @fairyshadi: ۲۰۰۰ خورده ایتون اینو فالو دارید!
@weareoneEXO https://t.co/NAZlex3dBB",۲۰۰۰ خورده ایتون اینو فالو دارید,"['۲۰۰۰', 'خورده', 'ایتون', 'اینو', 'فالو', 'دارید']","['۲۰۰۰', 'خورده', 'ایتون', 'اینو', 'فالو', 'دارید']"
49,@isna_farsi مردم تَکرار کنید🤣🤣,مردم تَکرار کنید,"['مردم', 'تَکرار', 'کنید']","['مردم', 'تَکرار']"
50,RT @ARIEL98899103: @Nazi_LS @spideabbasi_ منم زیر پنجام,منم زیر پنجام,"['منم', 'زیر', 'پنجام']","['منم', 'پنجام']"
51,@qualitystreettt تو اصلا خودتو اصطوره ی مظلوما میدونی,تو اصلا خودتو اصطوره ی مظلوما میدونی,"['تو', 'اصلا', 'خودتو', 'اصطوره', 'ی', 'مظلوما', 'میدونی']","['اصلا', 'خودتو', 'اصطوره', 'ی', 'مظلوما', 'میدونی']"
52,@justalireza @Mahdi7989 @DrSaeedJalili این منطق خیلی ضعیفه این عزیزان دنبال این هستند که سکان کشور رو انتقلابیها به… https://t.co/kQ1DK5yKn0,این منطق خیلی ضعیفه این عزیزان دنبال این هستند که سکان کشور رو انتقلابیها به,"['این', 'منطق', 'خیلی', 'ضعیفه', 'این', 'عزیزان', 'دنبال', 'این', 'هستند', 'که', 'سکان', 'کشور', 'رو', 'انتقلابیها', 'به']","['منطق', 'ضعیفه', 'عزیزان', 'دنبال', 'سکان', 'کشور', 'انتقلابیها']"
53,RT @IranCfppi: جمعی از کارگران شرکت کشت و صنعت میرزا کوچک خان واقع در شهرستان خرمشهر در استان خوزستان روز پنجشنبه ۲۳ اردیبهشت ماه، با برپای…,جمعی از کارگران شرکت کشت و صنعت میرزا کوچک خان واقع در شهرستان خرمشهر در استان خوزستان روز پنجشنبه ۲۳ اردیبهشت ماه با برپای,"['جمعی', 'از', 'کارگران', 'شرکت', 'کشت', 'و', 'صنعت', 'میرزا', 'کوچک', 'خان', 'واقع', 'در', 'شهرستان', 'خرمشهر', 'در', 'استان', 'خوزستان', 'روز', 'پنجشنبه', '۲۳', 'اردیبهشت', 'ماه', 'با', 'برپای']","['کارگران', 'شرکت', 'کشت', 'صنعت', 'میرزا', 'خان', 'واقع', 'شهرستان', 'خرمشهر', 'استان', 'خوزستان', 'روز', 'پنجشنبه', '۲۳', 'اردیبهشت', 'ماه', 'برپای']"
54,RT @adam_hesabi: رضا کفتر باز حتی از کفترا و پرنده هاشم نمیتونه محافظت کنه ، اونوقت یه عده همچنان میرن دخیل میبندن که سرطانشون خوب شه ! 😏 h…,رضا کفتر باز حتی از کفترا و پرنده هاشم نمیتونه محافظت کنه  اونوقت یه عده همچنان میرن دخیل میبندن که سرطانشون خوب شه   h,"['رضا', 'کفتر', 'باز', 'حتی', 'از', 'کفترا', 'و', 'پرنده', 'هاشم', 'نمیتونه', 'محافظت', 'کنه', 'اونوقت', 'یه', 'عده', 'همچنان', 'میرن', 'دخیل', 'میبندن', 'که', 'سرطانشون', 'خوب', 'شه', 'h']","['رضا', 'کفتر', 'کفترا', 'پرنده', 'هاشم', 'نمیتونه', 'محافظت', 'کنه', 'اونوقت', 'یه', 'عده', 'میرن', 'دخیل', 'میبندن', 'سرطانشون', 'شه', 'h']"
55,تف به حیات.,تف به حیات,"['تف', 'به', 'حیات']","['تف', 'حیات']"
56,"صدا و سیما پادگانیه که سربازانش زیر دست سرهنگ لاریجانی تربیت شدند.
#انتخابات_۱۴۰۰ 
#رئيسی_بیا",صدا و سیما پادگانیه که سربازانش زیر دست سرهنگ لاریجانی تربیت شدند انتخابات ۱۴۰۰  رئيسی بیا,"['صدا', 'و', 'سیما', 'پادگانیه', 'که', 'سربازانش', 'زیر', 'دست', 'سرهنگ', 'لاریجانی', 'تربیت', 'شدند', 'انتخابات', '۱۴۰۰', 'رئيسی', 'بیا']","['صدا', 'سیما', 'پادگانیه', 'سربازانش', 'دست', 'سرهنگ', 'لاریجانی', 'تربیت', 'انتخابات', '۱۴۰۰', 'رئيسی', 'بیا']"
57,@Kharmagas8 حیف از گلوله؛ اینها رو باید با قرص برنج کشت.,حیف از گلوله؛ اینها رو باید با قرص برنج کشت,"['حیف', 'از', 'گلوله', '؛', 'اینها', 'رو', 'باید', 'با', 'قرص', 'برنج', 'کشت']","['حیف', 'گلوله', '؛', 'اینها', 'قرص', 'برنج', 'کشت']"
58,"RT @mozhgon_siah: نمیخواین یه حالی بدین 
تا ۳کا آدم با مرام دور هم جمع بشیم 😜❤🐞",نمیخواین یه حالی بدین تا ۳کا آدم با مرام دور هم جمع بشیم ❤,"['نمیخواین', 'یه', 'حالی', 'بدین', 'تا', '۳', 'کا', 'آدم', 'با', 'مرام', 'دور', 'هم', 'جمع', 'بشیم', '❤']","['نمیخواین', 'یه', 'بدین', '۳', 'کا', 'آدم', 'مرام', 'بشیم', '❤']"
59,"RT @AzadiiFarhad: تو بمیر.! 
قول میدم نامت به نکویی ببرم.... 
#نه_به_جمهوری_اسلامی",تو بمیر قول میدم نامت به نکویی ببرم  نه به جمهوری اسلامی,"['تو', 'بمیر', 'قول', 'میدم', 'نامت', 'به', 'نکویی', 'ببرم', 'نه', 'به', 'جمهوری', 'اسلامی']","['بمیر', 'قول', 'میدم', 'نامت', 'نکویی', 'ببرم', 'جمهوری', 'اسلامی']"
